"","sc.anger","sc.anticipation","sc.disgust","sc.fear","sc.joy","sc.sadness","sc.surprise","sc.trust","sc.positive","sc.negative","Open","sc.Open","change","Date","loggdpchange","loggdp","urate"
"1",0.136363636363636,0.212121212121212,0.0303030303030303,0.181818181818182,0.0606060606060606,0.257575757575758,0.757575757575758,0.318181818181818,0.515151515151515,0.484848484848485,1945.969971,-1.42358000241366,-4.52507026873146,2,0,15.3170879434259,0.053
"2",0.255555555555556,0.255555555555556,0.0555555555555556,0.133333333333333,0.188888888888889,0.177777777777778,0.511111111111111,0.655555555555556,0.655555555555556,0.488888888888889,1916.680054,-1.71426238290494,-1.50515770728715,3,0,15.3170879434259,0.053
"3",0.185185185185185,0.271604938271605,0.0987654320987654,0.0987654320987654,0.0740740740740741,0.111111111111111,0.604938271604938,0.358024691358025,0.530864197530864,0.320987654320988,1877.400024,-2.10408979778526,-2.04937855527972,4,0,15.3170879434259,0.053
"4",0.234848484848485,0.318181818181818,0.128787878787879,0.166666666666667,0.151515151515152,0.242424242424242,0.78030303030303,0.340909090909091,0.590909090909091,0.439393939393939,1894,-1.93934639684704,0.884200265675505,5,0,15.3170879434259,0.053
"5",0.181159420289855,0.188405797101449,0.0507246376811594,0.173913043478261,0.072463768115942,0.115942028985507,0.507246376811594,0.297101449275362,0.572463768115942,0.297101449275362,1913.069946,-1.75009023408221,1.00686092925026,6,0,15.3170879434259,0.052
"6",0.260162601626016,0.333333333333333,0.0894308943089431,0.195121951219512,0.227642276422764,0.170731707317073,0.634146341463415,0.317073170731707,0.601626016260163,0.463414634146341,1833.400024,-2.54075968461412,-4.16450648689455,7,0,15.3170879434259,0.052
"7",0.269565217391304,0.260869565217391,0.121739130434783,0.165217391304348,0.165217391304348,0.217391304347826,0.71304347826087,0.48695652173913,0.591304347826087,0.478260869565217,1916.73999,-1.71366755912456,4.54565097136705,8,0,15.3170879434259,0.052
"8",0.158469945355191,0.256830601092896,0.087431693989071,0.158469945355191,0.158469945355191,0.213114754098361,0.923497267759563,0.360655737704918,0.562841530054645,0.306010928961749,1954.949951,-1.33445984672444,1.99348692046646,9,0,15.3170879434259,0.052
"9",0.174454828660436,0.32398753894081,0.115264797507788,0.202492211838006,0.118380062305296,0.183800623052959,0.844236760124611,0.342679127725857,0.579439252336449,0.345794392523364,1994.01001,-0.946815493473117,1.99800813212736,10,0,15.3170879434259,0.052
"10",0.284671532846715,0.281021897810219,0.14963503649635,0.237226277372263,0.156934306569343,0.226277372262774,0.748175182481752,0.361313868613139,0.635036496350365,0.448905109489051,1994.709961,-0.939868958837758,0.0351026823581568,11,0,15.3170879434259,0.051
