Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,2038.199951,2038.199951,1938.829956,1943.089966,1943.089966,17424750000
2016-01-08,1945.969971,1960.400024,1878.930054,1921.839966,1921.839966,24487630000
2016-01-15,1916.680054,1916.680054,1812.290039,1868.989990,1868.989990,21891690000
2016-01-22,1877.400024,1916.989990,1872.699951,1893.359985,1893.359985,23108130000
2016-01-29,1894.000000,1947.199951,1872.229980,1915.449951,1915.449951,24649560000
2016-02-05,1913.069946,1913.069946,1810.099976,1829.079956,1829.079956,25721590000
2016-02-12,1833.400024,1930.680054,1833.400024,1917.829956,1917.829956,18715620000
2016-02-19,1916.739990,1951.829956,1891.000000,1951.699951,1951.699951,20523670000
2016-02-26,1954.949951,1993.689941,1931.810059,1993.400024,1993.400024,23504750000
2016-03-04,1994.010010,2009.130005,1969.250000,1989.569946,1989.569946,24074670000
2016-03-11,1994.709961,2046.239990,1994.709961,2040.589966,2040.589966,19714250000
2016-03-18,2041.160034,2056.600098,2022.489990,2035.939941,2035.939941,20345430000
2016-03-25,2037.890015,2072.209961,2028.310059,2059.739990,2059.739990,13937010000
2016-04-01,2056.620117,2075.070068,2033.800049,2041.910034,2041.910034,18942670000
2016-04-08,2045.540039,2087.840088,2039.739990,2082.780029,2082.780029,19124810000
2016-04-15,2083.100098,2111.050049,2073.649902,2091.479980,2091.479980,19275330000
2016-04-22,2091.489990,2099.889893,2071.620117,2075.810059,2075.810059,19077460000
2016-04-29,2071.820068,2083.419922,2045.550049,2050.629883,2050.629883,20786310000
2016-05-06,2047.770020,2084.870117,2039.449951,2064.110107,2064.110107,18789540000
2016-05-13,2062.500000,2071.879883,2025.910034,2040.040039,2040.040039,19138290000
2016-05-20,2041.880005,2094.729980,2041.880005,2090.100098,2090.100098,17280620000
2016-05-27,2090.060059,2105.260010,2085.100098,2105.260010,2105.260010,14751450000
2016-06-03,2104.070068,2120.550049,2085.360107,2115.479980,2115.479980,17456910000
2016-06-10,2109.570068,2109.570068,2050.370117,2077.989990,2077.989990,17839810000
2016-06-17,2078.199951,2113.320068,2062.840088,2113.320068,2113.320068,18119050000
2016-06-24,2103.810059,2103.810059,1991.680054,2098.860107,2098.860107,26279040000
2016-07-01,2099.340088,2109.080078,2074.020020,2097.899902,2097.899902,14631200000
2016-07-08,2106.969971,2168.989990,2106.969971,2163.750000,2163.750000,17926590000
2016-07-15,2165.129883,2175.629883,2155.790039,2165.169922,2165.169922,15751010000
2016-07-22,2166.469971,2175.110107,2159.070068,2170.060059,2170.060059,17182610000
2016-07-29,2168.830078,2178.290039,2147.580078,2164.250000,2164.250000,18889310000
2016-08-05,2168.790039,2188.449951,2168.790039,2185.790039,2185.790039,17003030000
2016-08-12,2183.739990,2193.810059,2168.500000,2187.020020,2187.020020,15965070000
2016-08-19,2184.239990,2193.419922,2169.739990,2172.469971,2172.469971,15021430000
2016-08-26,2175.100098,2187.939941,2157.090088,2170.860107,2170.860107,16162430000
2016-09-02,2177.489990,2187.870117,2173.590088,2181.300049,2181.300049,13586030000
2016-09-09,2169.080078,2169.080078,2119.120117,2147.260010,2147.260010,19423930000
2016-09-16,2146.479980,2179.989990,2131.199951,2177.179932,2177.179932,18583010000
2016-09-23,2173.290039,2173.750000,2141.550049,2151.129883,2151.129883,18111810000
2016-09-30,2156.510010,2175.300049,2144.010010,2160.770020,2160.770020,18429880000
2016-10-07,2164.189941,2169.600098,2114.719971,2132.550049,2132.550049,16532260000
2016-10-14,2139.679932,2149.189941,2124.429932,2141.340088,2141.340088,15928380000
2016-10-21,2139.429932,2154.790039,2130.090088,2133.040039,2133.040039,18537540000
2016-10-28,2132.229980,2140.719971,2085.229980,2088.659912,2088.659912,20609390000
2016-11-04,2083.790039,2182.300049,2083.790039,2167.479980,2167.479980,24206640000
2016-11-11,2162.709961,2188.060059,2152.489990,2187.120117,2187.120117,22538860000
2016-11-18,2186.850098,2204.800049,2180.379883,2204.719971,2204.719971,14555990000
2016-11-25,2206.270020,2214.100098,2187.439941,2191.080078,2191.080078,19394530000
2016-12-02,2191.120117,2251.689941,2188.370117,2246.189941,2246.189941,20232450000
2016-12-09,2249.729980,2277.530029,2248.439941,2262.030029,2262.030029,20351750000
2016-12-16,2266.810059,2272.560059,2254.239990,2260.959961,2260.959961,18196040000
2016-12-23,2260.250000,2273.820068,2244.560059,2249.260010,2249.260010,8736360000
2016-12-30,2251.610107,2253.580078,2233.620117,2238.830078,2238.830078,2670900000
